,X,Y,EQ
32,"[[1.95589786912408e-28, 5.68390923433898e-11], [1.76609153059155e-28, 2.80659143641988e-11], [9.10179841288190e-28, 2.62225506014540e-11], [6.03135484366723e-28, 6.90083543604495e-11], [2.89649965691559e-28, 4.45166230066785e-11], [1.65346317505725e-27, 4.87995218381842e-10], [3.19071603724967e-28, 6.52137646514336e-10], [2.08595887178025e-27, 1.72351549414847e-10], [5.60162129268376e-28, 1.16879483911455e-9], [5.24985685218081e-28, 2.00094163297203e-10]]","[1.95826054857485e-30, 8.89486409937590e-30, 1.97712368888407e-30, 4.30816863336511e-31, 2.15572327925798e-30, 3.14257214145897e-33, 9.11893704731720e-33, 1.99698494630227e-32, 1.61703939911849e-33, 5.88700783284934e-32]",epsilon0*h**2/(pi*m*q**2)
33,"[[1.975239347936859, 144492.380391874, 0.000147453411084485], [1.3386603489473785, 13633.6671285590, 8.37577044320745e-5], [1.1347415732017898, 16972.5043893496, 1.20435324311650e-5], [1.0128300932689906, 104060.903710221, 2.11138040837683e-5], [1.4065596107031277, 146483.600484322, 7.56177829548946e-5], [1.5521687589964461, 77877.7275540806, 4.94532155992165e-5], [1.1082267644135124, 64322.4079976128, 1.21005934561828e-5], [1.818830512885558, 45743.4264165533, 4.78288520869712e-5], [1.9229480491864335, 51298.6832756479, 6.12370189182309e-5], [1.913786598733329, 14398.1427158619, 1.57217212522063e-5]]","[2.41929614149520, 0.129666179725450, 0.0232107449542359, 0.249484370755905, 1.25777283165278, 0.437317714580345, 0.0883808609745853, 0.248432216112663, 0.356705266841669, 0.0257037109829804]",V*pr/(g - 1)
34,"[[1.11808786260470e+25, 2.84614397755281e-24, 0.141749458247680, 29.6169916779170], [6.41015617946956e+25, 3.66131928767329e-24, 0.0951052306419218, 43.3910710507542], [5.21938108115590e+25, 1.54849191233048e-23, 0.146782864564123, 119.444079777776], [1.27556718132460e+26, 4.31972013315235e-24, 0.0523588057289646, 25.7993727319360], [1.11161068661749e+25, 1.15364550620196e-23, 0.0625458518476475, 26.5680944372283], [3.34236087267286e+25, 1.62536217968421e-24, 0.0104704989160833, 10.3301778958304], [3.48629404150678e+25, 1.44440393777830e-24, 0.0620386467114911, 143.510812142107], [8.24088394878813e+25, 2.52485834081939e-24, 0.0144566336387491, 25.3658132936050], [3.85442928826350e+25, 1.13401578601294e-23, 0.0407629670485830, 14.5152112876962], [3.98457648068852e+25, 2.03490276498035e-24, 0.0908141136708133, 13.5742424321783]]","[1.10732193795606e+25, 6.37372187552771e+25, 5.14930910667470e+25, 1.26764899954703e+26, 1.09037245254052e+25, 3.33845204626443e+25, 3.48474817687721e+25, 8.23246525594266e+25, 3.76821955155254e+25, 3.94623199785635e+25]",n_0*exp(-g*m*x/(T*k))
35,"[[0.105933670952073, 26.1518719273277], [0.236175104878051, 10.5174825991116], [1.07044336730704, 98.1098316036837], [0.888807159521666, 60.3018652615353], [0.755787633794339, 12.6006618962364], [0.261848478845675, 71.1828417548670], [0.588704499950599, 24.5171649939618], [0.456047592529161, 11.8601045534150], [0.775763066152791, 32.7448975044266], [0.458350547763952, 10.3775332148263]]","[4.56786180845538e-42, 9.13108041188092e-42, 1.74977437770236e-39, 7.41460408242321e-40, 1.12030185089005e-40, 7.59657034693691e-41, 1.32253475029115e-40, 3.83929058512616e-41, 3.06721320351916e-40, 3.39337435126221e-41]",h*omega**3/(2*pi**3*c**2*(exp(h*omega/(2*pi*T*k)) - 1))
36,"[[1.9673908762099095, 9.10394754611187e-21, 114.346043270220], [1.317900004934598, 3.45693269824055e-21, 204.145958280739], [1.7837030136307157, 3.22773708943006e-21, 784.714269211345], [1.4788875972071378, 1.54320262618049e-20, 631.285974158122], [1.2279693617102334, 5.20954723986533e-21, 651.709834960076], [1.5409945634853712, 7.69720443819478e-21, 212.789699704401], [1.9916078095162597, 1.06011014841270e-21, 191.523404079223], [1.2241661626804223, 9.57030280329512e-21, 228.313426451146], [1.0293225181638412, 1.46686902723263e-20, 170.842557750563], [1.2078748455784787, 7.75906856496461e-21, 868.939031864545]]","[0.0196908262709464, 0.0925811151539198, 0.381141240577141, 0.0641321401012985, 0.196122238011825, 0.0433401216611138, 0.283232708960425, 0.0374005784195333, 0.0182590119235486, 0.175570789524104]",k*v/(A*(g - 1))
37,"[[1405051666794110303338496, 77.2670572013731, 7.11114777006868e-5, 1.10343652118893e-5], [198766860811018811998208, 93.8825320714741, 5.72831832669573e-5, 1.17406887154799e-5], [399018656297198364393472, 22.5078951829466, 4.92875154953133e-5, 8.29772784768059e-5], [1110870213423549797892096, 43.5041469711747, 5.02821292541682e-5, 8.23922657890944e-5], [258409761684754788253696, 13.8486128831469, 9.95693914406061e-5, 1.31342846061761e-5], [1059420319362167961812992, 76.2393417691681, 2.09354243197887e-5, 1.19422653348225e-5], [1188025922141640066072576, 34.2311275935933, 0.000150743483139779, 7.54525554363599e-5], [230263668428886920658944, 132.168891056544, 0.000113670737764440, 1.15542207912541e-5], [164768093890911297077248, 45.9374498349689, 1.22145049667786e-5, 2.06280403395744e-5], [597410537967916352012288, 88.6966649175136, 2.03947276171327e-5, 2.43256773586868e-5]]","[-2792.78437403489, -408.344485788402, 64.5895700824174, 329.507378546821, -100.082546375683, -625.995618968991, -388.583103092432, -960.644396650090, 54.7617192907051, 128.945889164164]",T*k*n*log(V2/V1)
38,"[[1.5777315118665909, 7.18444054040334e-06, 1.6755204764171032], [1.3043736153613583, 1.349671924028831e-05, 1.7985531396042105], [1.5558414199762258, 6.390269060395296e-06, 1.5837378693900328], [1.8875471671404669, 1.1994311754398763e-05, 1.5280463250683771], [1.6377202746717017, 5.503927867615359e-06, 1.5390908894915154], [1.3838849453082351, 5.945354603095514e-06, 1.518628522597615], [1.5452538991891034, 1.4239354047983758e-05, 1.5170861411887953], [1.3381421492600267, 1.1612723629751166e-05, 1.2778266929212623], [1.8273055903442532, 1.3667909682204008e-05, 1.7744070886455185], [1.9948125730233135, 1.14789165681566e-05, 1.4985009578440476]]","[0.00648458138666668, 0.00857852868324007, 0.00629039995083660, 0.00877363865328543, 0.00592194774481613, 0.00619617168650653, 0.00959401430137119, 0.00944042192823437, 0.00869130030429488, 0.00866726898686154]",sqrt(g*pr/rho)
39,"[[0.221286971825514, 54.6826747486117, 0.00170435951373655, 0.00210890354228027], [0.748048222574283, 22.1724492758115, 0.00106601096228898, 0.0128570819955541], [1.12233679344700, 83.1482068400950, 0.00555515668407060, 0.0106104356661035], [0.567734173696124, 16.6414688995236, 0.00407303042369920, 0.00423112693167291], [0.154811119195955, 147.837818639652, 0.0131750762511256, 0.00408012267760223], [0.513558293937546, 43.9736810840146, 0.00108792399917733, 0.00222760733325556], [0.235403953586224, 61.3627195035436, 0.00119703664557741, 0.00388964955994960], [0.274927585567894, 25.1715932642909, 0.00695939579724996, 0.00186258891884954], [1.11079272442100, 90.7623520183987, 0.00139920038668128, 0.00148419306293677], [0.728565124643883, 13.3248052410349, 0.00127293601463913, 0.00160613708559515]]","[0.220789244382980, 0.757451623760697, 1.01426692138300, 0.568821640595674, -0.0569023227939911, 0.514112113816216, 0.235679896692865, 0.271216436073483, 1.10346969834933, 0.729630163106238]",x1*(alpha*cos(omega*t)**2 + cos(omega*t))
40,"[[1.31951251122548, 10.1171749131368, 55.3644450165862, 0.000322889910126756, 0.136114300099945], [0.737297255300617, 33.9216120400949, 33.9169860801066, 0.000902672350049663, 0.0941522524920301], [0.827648987770735, 43.8933515271441, 58.0117869462997, 0.000614990484773002, 0.0768159041376731], [1.22910565601240, 75.5304236472082, 51.1053648720499, 0.000640263907037329, 0.0190340436481848], [0.370456923475836, 63.9303804735690, 11.3283955301756, 0.000914538887666218, 0.0257631089877690], [0.325177385098577, 53.6835863982811, 65.8540118882452, 0.000123790910553453, 0.0818185613049677], [0.300527031576340, 61.1343635953841, 130.018779927816, 0.000939128809801134, 0.0287262516463606], [0.947361917446155, 34.6095562994805, 17.1358609296266, 0.00143070299715690, 0.144148016212848], [0.484533010030984, 52.2974106574537, 25.2987181764188, 0.000317342111436676, 0.0143359058788526], [0.142582782405917, 13.4703540812762, 99.8814342288383, 0.000225690375418219, 0.0332348228870256]]","[0.141630443236522, -3.26997110045803e-5, 0.0935513393496468, -1.00984052319929, -0.691741377996072, 0.00598774111588927, 0.676785004720782, -0.164301489216061, -0.289580069507034, 0.0836673838673809]",A*kappa*(-T1 + T2)/d
41,"[[1.54575024002675e-22, 1.8514496929013906, 6.01192153424977e-10], [1.85766215095838e-22, 4.689393370563763, 9.84536864198877e-10], [1.03066938331099e-22, 0.3675022146549705, 1.08262165762682e-10], [3.78845666552061e-22, 2.95151219074992, 1.63514549436529e-10], [1.12322020095713e-21, 0.6630820830038671, 4.35865023775402e-10], [4.25757779355645e-22, 1.5839811073524594, 3.46745863920405e-10], [1.46622042941860e-22, 5.963959981678198, 1.03241121789331e-9], [4.10133699701153e-22, 5.009832736157476, 8.82832135243921e-10], [1.05085940393430e-21, 1.3206309750153657, 6.97448758870313e-10], [1.01029763620473e-22, 4.2064799263, 5.91510033286851e-10]]","[-1064652.88763666, -39605.0739780336, 73755594.5561174, -125053993.297674, 41877711.4377019, -419606.050665230, 1173871.40589275, 1386093.68522860, 4806724.08794843, -1257628.72854241]",p_d*cos(theta)/(4*pi*epsilon0*r**2)
42,"[[3.39092906894660e-22, 6.48611432265911e-10, 8.59431309871692e-10, 8.31812854201058e-10, 1.33945462593827e-10], [2.50332431636200e-22, 1.82542302526296e-10, 3.96946670755222e-10, 4.80696249070730e-10, 3.69076124320256e-10], [1.49886342166336e-22, 7.65383792516555e-10, 2.89598775955398e-10, 1.10120670682381e-9, 1.98445473078885e-10], [1.18348614583080e-22, 1.52080286412307e-9, 1.38019175008052e-9, 1.14394682299031e-10, 3.52748214987316e-10], [1.13677918842710e-21, 1.11281014081777e-10, 3.54704488517674e-10, 1.02214423573584e-9, 1.03706282398196e-9], [1.65919543581816e-22, 4.07988486399864e-10, 1.24112446221217e-9, 7.13114484296243e-10, 3.22338405534652e-10], [1.19075205789633e-21, 1.39651185586671e-9, 3.22467711616380e-10, 1.09153907720752e-9, 1.05464265069557e-10], [2.26601124021835e-22, 1.45566719270940e-9, 1.24571365564921e-9, 1.09789131550983e-10, 4.12665975230895e-10], [1.55243493132138e-22, 3.71873688394858e-10, 9.88136403086815e-10, 1.23878338663582e-10, 1.37267738428421e-9], [1.09058427637123e-22, 7.48702917160767e-10, 2.05880157010818e-10, 2.45672828719439e-10, 1.30861364270310e-10]]","[1.27595568167920e+16, 7.66212736922462e+18, 3.47664089126126e+15, 191624970431927., 2.01530895844331e+21, 1.82597764183705e+17, 725563367621671., 482404460830558., 8.04582254976590e+17, 524275119445658.]",3*p_d*z*sqrt(x**2 + y**2)/(4*pi*epsilon0*r**5)
43,"[[5.73103930446418e-22, 0.7343944908978033, 2.22061164505489e-10], [2.29473475898924e-22, 0.6688050004075224, 7.91926587498628e-10], [1.00635346420005e-21, 1.2834065843825493, 3.20790616533612e-10], [2.83731683505527e-22, 0.2413420445134894, 2.75383886977573e-10], [3.43810253474217e-22, 1.5523840999676704, 1.97846532296009e-10], [3.14256931658276e-22, 0.7986127025159472, 1.41671672878988e-9], [3.21101151698683e-22, 2.6486230967777904, 9.39591522438565e-10], [9.13511772868524e-22, 1.868560536518295, 2.45505718268302e-10], [5.10765984523404e-22, 0.3865437499991935, 1.08711824102194e-10], [3.98687439715633e-22, 2.067564477363587, 3.24932156448371e-10]]","[7.01915379262720e+17, 6.06030153338175e+15, 2.23427904830251e+17, 8.50141129109505e+16, 2.20345565933010e+16, 1.48941858956322e+15, -4.35125387053337e+15, -4.66856332684247e+17, 3.74279867037211e+18, -1.31283754361891e+17]",3*p_d*sin(theta)*cos(theta)/(4*pi*epsilon0*r**3)
44,"[[5.96714870530399e-11, 1.18006963612121e-11], [1.33672847215542e-10, 5.40617250713126e-12], [3.45128200037336e-11, 1.12907744249002e-11], [5.32137891835336e-11, 2.40538057400097e-12], [7.82706008022079e-11, 3.37929339680575e-12], [1.32229037207069e-10, 2.62323396430146e-12], [1.29119484040411e-11, 9.63107990641946e-12], [5.92104608948065e-11, 4.28198941274403e-12], [2.35193487272360e-11, 7.29200463030845e-12], [3.11463764270214e-11, 1.20581048524289e-12]]","[1.62711684810382, 17.8233425373298, 0.568891989008159, 6.34829684907649, 9.77606524442627, 35.9425843721108, 0.0933471867464659, 4.41513462254771, 0.409068749787541, 4.33839065808370]",3*q**2/(20*pi*d*epsilon0)
45,"[[24.2180123647854], [58.2958157046966], [17.1733788100249], [20.3954636105180], [42.7274152366688], [72.1686306654335], [18.2149023538968], [117.550424314637], [87.0130037507996], [79.2828635197675]]","[2.59654424743574e-9, 1.50450453675924e-8, 1.30566040468590e-9, 1.84156010538224e-9, 8.08224436579767e-9, 2.30576830256615e-8, 1.46883302789268e-9, 6.11740363477350e-8, 3.35186915291198e-8, 2.78277049237177e-8]",Ef**2*epsilon0/2
46,"[[1.00716398017840e-11, 5.46691813697223e-9, 5.98100230303970e-28, 2775512357.21793, 15777146032.7194], [1.65122408715916e-11, 1.38220143695412e-9, 4.43203483285447e-28, 9614446162.46996, 1707573784.26402], [1.00339640457868e-10, 1.95819918956716e-9, 2.20485701333158e-28, 2964367388.45967, 11315313236.1509], [2.33554594834862e-11, 9.80536014947463e-9, 1.07612817424664e-28, 12868438952.7113, 1647421050.51940], [5.33723141365976e-11, 2.64436353550449e-9, 3.50527272723131e-28, 1705845019.19955, 1413009915.44502], [9.16361001193349e-11, 1.14663131560358e-8, 1.31476202645074e-27, 7496431273.84045, 1417628375.90111], [1.21001341009672e-11, 2.56051568375032e-9, 1.27123789911408e-27, 10373911870.6772, 1387956463.96246], [1.06381015944178e-11, 7.16533044371075e-9, 2.46830535852953e-28, 7270578954.51245, 9990852131.89109], [6.42843109120296e-11, 2.85782749533417e-9, 6.58012186187428e-28, 1059164482.39082, 2773390905.67744], [3.01162069067568e-11, 3.49193356892579e-9, 9.80916876671813e-28, 2077766282.49173, 5122942988.23776]]","[3.81649513404561e-13, -5.75235321771726e-13, 7.47299712017571e-12, -1.30651059974738e-11, -4.40856316405075e-10, -1.47485609334625e-11, -2.30595176863307e-13, 6.57676241110485e-12, 4.24962336744924e-11, 4.88929524121316e-12]",Ef*q/(m*(-omega**2 + omega_0**2))
47,"[[2.16512280266007e+27, 47.4307874992862, 1.98061264231738, 7.07606645386190e-22, 79.5765410005364], [1.31617766422857e+28, 92.6683939228009, 3.660845521452177, 4.06309861790844e-22, 122.107223624136], [4.16935863328395e+27, 21.9367007815124, 5.656503831862908, 2.41768791377114e-22, 128.436744370037], [1.71913287088472e+27, 26.4515523599725, 1.9795877485648161, 1.26631433958564e-21, 130.197080427096], [3.38380071073596e+27, 58.0542647263499, 3.7627966678553384, 1.90643330179344e-22, 13.2007840593566], [1.05666209467739e+28, 116.299491606630, 0.45193884060048556, 1.45411260831278e-22, 62.8242761974011], [1.74938752443272e+27, 21.7734591125543, 5.285589464343296, 1.08334449678244e-22, 26.1844023193055], [9.62751213771936e+27, 154.014959784477, 0.62920709765749, 1.29733230486885e-22, 10.7902939206284], [1.16947029064519e+27, 39.6181089114619, 1.1033944245819156, 1.00027368669943e-22, 10.7867097089897], [2.87967217962723e+27, 28.5353011692148, 3.9254470800972605, 8.10765680032299e-22, 34.8098208603858]]","[-7.20136673105676e+28, -4.29949888695520e+29, 3.50409557694787e+29, -3.06781161872363e+29, -5.25581618095232e+27, 6.46484056647149e+28, 1.07018642308191e+28, 1.47517514345010e+28, 2.20886550580934e+27, -1.43213142697770e+29]",n_0*(Ef*p_d*cos(theta)/(T*k) + 1)
48,"[[674046512622910612439040, 1.24716273569701e-21, 100.780310940377, 101.249084813622], [893375881049258867032064, 1.49633399077129e-22, 70.8041182089706, 14.9891540411564], [940742765013750798876672, 1.56359974726063e-21, 43.3552515562685, 10.8953325167113], [350276102308359565213696, 1.00881447190573e-21, 20.4923229652308, 23.2389829278225], [498555219691701146746880, 1.96059962284542e-22, 113.689173636404, 12.9998293458055], [344782766498513021829120, 2.10828749340699e-22, 24.9896280921607, 63.7760989414927], [1165525684018041940082688, 8.58467088606264e-22, 44.3230568423316, 14.5620998186894], [254929158583814079905792, 9.35135811099711e-22, 15.4573263692048, 85.2279307880487], [255504938338111778193408, 2.00690100059070e-22, 14.5522901285727, 12.8702646017169], [678970659853062920732672, 3.01512094530182e-22, 10.2669010310504, 59.6236115480378]]","[25195.1047483875, 2281.22522216749, 220962.591122442, 7589.31630454983, 4046.39260433047, 144.978138661151, 63120.4828259471, 976.150508268620, 280.925090217702, 256.612047782925]",Ef*n_rho*p_d**2/(3*T*k)
49,"[[1434135315858907522400256, 8.67573418168010e-33], [573477779153073750409216, 1.02507797755246e-33], [1478152437681461624045568, 7.81629184149437e-33], [506262873102243013328896, 3.57051379006233e-33], [813589508409774422622208, 3.31439330160188e-33], [613724361128819359219712, 3.14216451193336e-33], [1026008802002300118761472, 3.81938392582324e-33], [151353643356537518817280, 1.06265869302695e-33], [999864003855061111275520, 1.27234434790933e-32], [102706144121563711012864, 9.68983494559581e-33]]","[1.00000001244218, 1.00000000058786, 1.00000001155367, 1.00000000180762, 1.00000000269656, 1.00000000192842, 1.00000000391872, 1.00000000016084, 1.00000001272171, 1.00000000099521]",a*n/(-a*n/3 + 1) + 1
50,"[[0.00119123802883041, 0.0121216340390221], [0.00311832332396587, 0.00338364173121122], [0.00447207767448115, 0.00798268692180150], [0.00633878311915554, 0.00481853855438218], [0.00198564048607577, 0.00950084291536158], [0.00675094055259982, 0.00105572512560673], [0.00343655969582839, 0.00100050100660481], [0.00216935144840889, 0.00303860619162060], [0.00592864306556884, 0.00739887325379145], [0.00209096489603171, 0.00208512210644398]]","[1.64994256799377e-5*I, 5.91079126674136e-5*I, 2.50542207035615e-5*I, 4.15063608372212e-5*I, 2.10507637825351e-5*I, 0.000189443250989511*I, 0.000199899848801699*I, 6.58196512920226e-5*I, 2.70311428627003e-5*I, 9.59176440210182e-5*I]",I/(2*pi*c**2*epsilon0*r)
51,"[[1.29710475487973e-24, 0.00100521582260683, 0.707402321833945], [2.84685101442372e-25, 0.00121975269430925, 4.32391836659092], [1.52303069184331e-25, 0.00133249283809833, 2.7498256606588383], [4.38560892253984e-25, 0.00987644701266896, 5.103856423492041], [4.23967719007714e-25, 0.00963544115561570, 2.615118393259409], [4.31825617047687e-22, 138.365900774044, 3.947807740815564], [2.66289666800014e-22, 19.9326291033211, 0.7578797121593959], [1.93552110455385e-22, 127.457561601529, 0.6450596267530252], [4.78173665319343e-22, 37.2209339080317, 0.25790428720317693], [7.78502272791004e-22, 153.803257462285, 1.76877017140459]]","[-9.91009913758248e-28, 1.31527337865641e-28, 1.87566959180386e-28, -1.65263405849901e-27, 3.53192627835794e-27, 4.13609911732118e-20, -3.85506770150516e-21, -1.97126511900327e-20, -1.72094280933219e-20, 2.35500909916726e-20]",-B*mew*cos(theta)
52,"[[1031747329.48294, 0.00139456326826876], [10718258956.5265, 0.00187372502728829], [2439109613.27342, 0.00816120576229522], [1407451979.35158, 0.00127621664912308], [2306721548.24720, 0.0106870024544642], [10877970612.8437, 0.00375845893943265], [5832219460.63900, 0.0100567943006638], [13785241076.8556, 0.00184777900940981], [1088054360.64990, 0.00206354258229651], [1387694199.00654, 0.00203608232557125]]","[2252.74038044053*I, 1676.27495777192*I, 384.856229465179*I, 2461.64077419161*I, 293.863158782264*I, 835.084616340749*I, 311.778740013001*I, 1699.57741727869*I, 1522.42253370666*I, 1542.95259927024*I]",sqrt(-pi**2/d**2 + omega**2/c**2)
53,"[[0.652621752010595], [0.139280988967826], [0.597388916707954], [1.10486152005189], [0.284941261129031], [0.591354524721084], [1.52024780844551], [0.180738035303662], [0.455792702597706], [0.391572884931839]]","[0.00113055715479361, 5.14935836057639e-5, 0.000947291749957967, 0.00324029932075885, 0.000215516297506179, 0.000928250691558883, 0.00613476887078017, 8.67098724125419e-5, 0.000551447495393108, 0.000407000230074691]",Ef**2*c*epsilon0
54,"[[0.427951262590540], [0.128339026513200], [0.886206439358013], [0.268746568363798], [0.404206255055407], [1.03250478905952], [0.104708591316157], [0.581448083385382], [0.241059052017193], [0.220419255870536]]","[1.62157617281884e-12, 1.45836492866669e-13, 6.95374135453842e-12, 6.39491218483325e-13, 1.44662108246395e-12, 9.43914982706297e-12, 9.70763332884459e-14, 2.99344040803413e-12, 5.14512131037182e-13, 4.30177601734997e-13]",Ef**2*epsilon0
55,"[[1.42952380997338e-11, 283958.080649228, 1.38769542460741e-11], [2.44638583088241e-11, 253649.605492462, 1.53112628574134e-10], [5.36738291180162e-11, 226790.603381720, 4.40701535994699e-11], [1.53399849846831e-11, 105155.554338587, 1.70453053885073e-11], [4.61613109199463e-11, 1591146.64926275, 4.36141075295730e-11], [9.64140720662282e-11, 748583.869260524, 2.91600727607000e-11], [3.62493281663853e-11, 484926.541541128, 7.34898541534649e-11], [6.71509838721531e-11, 103641.161742180, 1.42467426270666e-10], [3.74815607469298e-11, 325118.171399023, 2.77867199357844e-11], [9.78009597297015e-11, 489822.947255061, 3.74716596004940e-11]]","[46555.5648869513, 6450.12696155575, 43960.5586819813, 15061.6481066574, 268028.813559967, 393923.979538195, 38068.7540558390, 7774.79963515629, 69797.8038884831, 203469.560567835]",q*v/(2*pi*r)
56,"[[1.20697741481507e-10, 1513928.76584515, 2.88754007825091e-11], [1.55828559569364e-11, 244484.224253324, 9.94309006867633e-11], [1557388747.44656, -0.174862971662483, 4.21162827872914e-26], [239909646.380530, -0.5307494390495131, 2.11340067751229e-26], [201491179.827571, 0.8939887535504873, 1.33615454012631e-25], [1284245050.72510, -0.49602585490859874, 1.98752262057318e-24], [2654278355.92765, 0.362638533902508, 1.26177604777105e-25], [375423329.309042, -0.6240875010296472, 1.16627868987271e-24], [2585430583.64636, -0.4160483951707432, 5.58271348178872e-26], [1249995686.32121, -0.885802932725682, 3.45046187388008e-26]]","[2.63816898124477e-15, 1.89404055917119e-16, -5.73475573655090e-18, -1.34551672684054e-18, 1.20341325657308e-17, -6.33044586880183e-16, 6.07257237002468e-17, -1.36627803425529e-16, -3.00256264164247e-17, -1.91026168723620e-17]",q*r*v/2
57,"[[240791541505795456761856, 142.493611161893, 0.00186037207011572, 4.73937593071402e-25], [402489255092586761158656, 72.9111933215821, 0.00243821057493631, 1.32191107810417e-24], [169160635096687322333184, 13.4351500034405, 0.00372369564523715, 1.87888276720943e-25], [322575013292142183317504, 20.1478971476907, 0.00287942141148514, 2.25426216100206e-25], [866437633216903401963520, 82.8920160977711, 0.00131287572562758, 4.83230554136394e-25], [180665589851259028897792, 106.116694709030, 0.00156914160471780, 1.18804055225990e-25], [130975363331926152708096, 153.251089016307, 0.00103066859423349, 1.42337352133556e-24], [628767193837582396948480, 33.1274371777387, 0.00537240115177404, 8.78018499245224e-25], [899740306840619619188736, 14.3067714008854, 0.0135194662350597, 1.38195981393760e-25], [727779120152440960188416, 59.7185191997402, 0.00128401805521498, 4.12503904102806e-25]]","[1.20395770752886e+23, 2.01244627545262e+23, 8.45803175477420e+22, 1.61287506645632e+23, 4.33218816608385e+23, 9.03327949256288e+22, 6.54876816659473e+22, 3.14383596902071e+23, 4.49870153400186e+23, 3.63889560076145e+23]",n_0/(exp(B*mew/(T*k)) + exp(-B*mew/(T*k)))
58,"[[504531989054256404496384, 0.00166294416614604, 15.8186797680827, 1.08439900410414e-25], [368260440157920700661760, 0.0139623004359155, 87.8010798450169, 3.77184696723853e-25], [1342296253287565264683008, 0.00570897001665885, 36.1658000670861, 3.78643139777767e-25], [171115471261541764956160, 0.00158743460187270, 38.3805399775793, 5.89475866239813e-25], [184908579465025728544768, 0.00159829736574199, 132.238666628911, 1.21759582941506e-25], [584353257658686097063936, 0.00134798525110858, 14.5815040143273, 2.40138363734092e-25], [151280869535434353410048, 0.0115437655533801, 28.2468960068239, 5.72541669582055e-25], [154339249108931800203264, 0.00888916245875843, 71.7827601294095, 1.12271079811203e-25], [466484845786196523089920, 0.00260364961100124, 37.5995563647806, 8.09913706386117e-25], [1050918192165211928002560, 0.00315884179509391, 78.5951964828496, 1.13203507214216e-24]]","[4.51742632355884e-8, 6.03444085334011e-7, 2.20031553855788e-6, 1.78124154397589e-7, 2.39982296699276e-9, 2.25630652675073e-7, 1.46788386412130e-6, 1.74489617111160e-8, 1.53472854925580e-6, 3.92046213156274e-6]",mew*n_rho*tanh(B*mew/(T*k))
59,"[[4.39141578802151e-25, 0.00184502400769429, 349178518823345879777280, 18.1817852381042, 0.2646232432333384], [8.23838527664978e-25, 0.00256903385840531, 506678218604089496829952, 60.1822636872686, 0.3073658658088567], [5.54417825841889e-25, 0.00909155017349242, 233931792495675961245696, 19.7082325277184, 0.6117202712307986], [1.27706465455698e-24, 0.0153463074656051, 159050501879217900224512, 19.9390161243228, 0.31334729847075415], [4.29751576416219e-25, 0.00375006308986381, 204528501520294884671488, 61.2219252095095, 0.319097810183793], [1.07532248957326e-24, 0.00902524706259982, 267565990131125951922176, 62.4431997496965, 0.9410035320253399], [2.82768092566625e-25, 0.00204604187203893, 206313094889957004148736, 61.0420434419830, 0.8169083292867287], [1.57880342213377e-24, 0.00357225067447657, 202978927103952619044864, 26.7482140850028, 0.384887676322334], [5.35458012818190e-25, 0.0108366225849089, 228525492058256566124544, 89.7228163387676, 0.6623268333022012], [3.21591483930131e-25, 0.00645392927306952, 349071423198844019539968, 24.7138617840771, 0.4816802908770359]]","[203128154512093., 194038554671815., 366402315885954., 290533850772849., 41697953197465.6, 394641110412935., 71060463846961.9, 419705642700701., 82215955568077.8, 199142374198155.]",H*mew/(T*k) + M*alpha*mew/(T*c**2*epsilon0*k)
60,"[[1.78729400171735e-25, 0.0139126813641660, 15890.7543933555], [7.67189570567659e-25, 0.0141511586848025, 36981.2383634691], [3.02397583839318e-25, 0.00144384640433904, 107593.186667444], [4.09528126187967e-25, 0.00428633846841171, 72882.9447328846], [7.54129567551631e-25, 0.00418619093083756, 17615.4045391895], [3.14943411255006e-25, 0.00331158952871767, 108632.045000312], [5.58225208585452e-25, 0.00955237155609784, 45432.3512479180], [5.15038117270669e-25, 0.00746309388750381, 28367.6753942998], [1.04629109179791e-24, 0.00882860803035098, 36091.7447599534], [1.30499225727578e-24, 0.00226396704983832, 14862.2114558953]]","[3.95165190321480e-23, 4.01502158751402e-22, 4.69773072658814e-23, 1.27938739116578e-22, 5.56137622597048e-23, 1.13300279412255e-22, 2.42267648386659e-22, 1.09042885400529e-22, 3.33399292273374e-22, 4.39127558518749e-23]",B*mew*(chi + 1)
61,"[[236120374.718334, 26.3352276649329], [556672290.052240, 96.1446607848874], [270221557.877683, 82.6565196418639], [141624056.518382, 57.6630940795279], [196060646.649240, 17.3894056723216], [152964825.094022, 15.2294701754309], [1176815341.56589, 20.5566861173704], [687482981.575769, 105.635791636958], [376654771.191477, 22.0386333915067], [926188157.255347, 71.3034424161314]]","[14601.4459029738, 22611.1726522837, 40045.9702672986, 53304.5105879776, 11611.3503542281, 13034.1790501945, 2286.42494534796, 20116.1778502752, 7659.84465057157, 10078.5220610926]",1/(exp(h*omega/(2*pi*T*k)) - 1)
