Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
!test_11,111,I,I_0*(sin(alpha/2)*sin(n*delta/2)/(alpha/2*sin(delta/2)))**2,4,I_0,F,ulog,1e-3,0.1,alpha,F,ulog,1e-11,1e-9,delta,F,ulog,1e-11,1e-9,n,I,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_12,112,F,q/(4*pi*epsilon0*y**2)*(4*pi*epsilon0*Volt*d-q*d*y**3/(y**2-d**2)**2),4,q,F,ulog,1e-3,0.1,y,F,ulog,1e-2,1,Volt,F,ulog,0.1,10,d,F,ulog,0.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_13,113,Volt,1/(4*pi*epsilon)*q/sqrt(r**2+d**2-2*r*d*cos(alpha)),5,q,F,ulog,1e-3,0.1,r,F,ulog,1e-2,1,d,F,ulog,0.01,1,alpha,F,u,0.0,2*pi,epsilon,F,ulog,1e-12,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,
!test_14,114,Volt,Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2)),5,Ef,F,ulog,10,1000,theta,F,u,0,2*pi,r,F,ulog,0.01,1.0,d,F,ulog,0.01,1.0,alpha,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
!test_15,115,omega_0,sqrt(1-v**2/c**2)*omega/(1+v/c*cos(theta)),3,v,F,ulog,1e5,1e7,omega,F,ulog,1e9,1e11,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_16,116,E_n,sqrt((p-q*A_vec)**2*c**2+m**2*c**4)+q*Volt,5,m,F,ulog,1e-30,1e-28,p,F,ulog,1e-9,1e-7,q,F,ulog,1e-11,1e-9,A_vec,F,ulog,10.0,1000,Volt,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
!test_17,117,E_n,1/(2*m)*(p**2+m**2*omega**2*x**2*(1+alpha*x/y)),6,m,F,ulog,1e-30,1e-28,omega,F,ulog,1e9,1e11,p,F,ulog,1e-09,1e-7,y,F,ulog,1e-11,1e-9,x,F,ulog,1e-11,1e-9,alpha,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,
!test_18,118,rho_0,3/(8*pi*G)*(c**2*k_f/r**2+H_G**2),3,H_G,F,ulog,1,100,k_f,F,ulog,10,1000,r,F,ulog,100000000.0,1e10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_19,119,pr,-1/(8*pi*G)*(c**4*k_f/r**2+H_G**2*c**2*(1-2*alpha)),4,alpha,F,u,-10,10,k_f,F,ulog,10,1000,r,F,ulog,100000000.0,1e10,H_G,F,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!test_20,120,A,1/(4*pi)*alpha**2*h**2/(me**2*c**2)*(omega_0/omega)**2*(omega_0/omega+omega/omega_0-sin(b)**2),3,omega,F,ulog,1e9,1e11,omega_0,F,ulog,1e9,1e11,b,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
